lat	lon	section	RA	logRA
31.667	-64.167	BATS	0.05	-1.3010299956639813
22.75	-158	HOT	0.26249282408286645	-0.5808825646534969
34.328	-55.432	GA02	0.05	-1.3010299956639813
13.162	-53.422	GA02	0.05	-1.3010299956639813
9.546	-50.469	GA02	0.05	-1.3010299956639813
16.831	-56.269	GA02	0.05	-1.3010299956639813
35.416	-66.541	GA03	0.05	-1.3010299956639813
24.15	-40.218	GA03	0.05	-1.3010299956639813
38.655	-69.131	GA03	0.05	-1.3010299956639813
22.333	-35.867	GA03	0.05	-1.3010299956639813
31.754	-64.175	GA03	0.05	-1.3010299956639813
26.137	-44.826	GA03	0.05	-1.3010299956639813
17.4	-24.5	GA03	0.0611233456574622	-1.213792882167844
27.583	-49.633	GA03	0.05	-1.3010299956639813
38.324	-68.876	GA03	0.05	-1.3010299956639813
37.607	-68.389	GA03	0.05	-1.3010299956639813
19.433	-29.383	GA03	0.06199921540936	-1.2076138063975772
24.714	-67.073	GA02	0.05	-1.3010299956639813
22.341	-63.583	GA02	0.05	-1.3010299956639813
28.09	-67.501	GA02	0.05	-1.3010299956639813
-35.009	-39.431	GA02	0.16160750700262977	-0.7915384692167922
-32.092	-37.456	GA02	0.05	-1.3010299956639813
-29.054	-35.808	GA02	0.05	-1.3010299956639813
-26.087	-34.258	GA02	0.05	-1.3010299956639813
-22.473	-32.749	GA02	0.057186976807753746	-1.2427028618449067
-12.896	-29.233	GA02	0.4335143546769499	-0.36299651744088757
-17.017	-30.605	GA02	0.2754085030225272	-0.560022655369015
-9.161	-28.001	GA02	0.5	-0.3010299956639812
-5.667	-28.457	GA02	0.08823660943048643	-1.0543511883956203
-2.651	-28.917	GA02	0.4341171639270484	-0.36239304288407687
-0.192	-32.874	GA02	0.18966549219444637	-0.7220116776130816
-46.907	-47.179	GA02	0.05	-1.3010299956639813
-42.364	-44.032	GA02	0.06694755270246729	-1.174265294189541
-39.965	-42.423	GA02	0.05	-1.3010299956639813
-37.831	-41.125	GA02	0.05	-1.3010299956639813
24	-22	GA03	0.05	-1.3010299956639813
17.352	-20.817	GA03	0.05	-1.3010299956639813
17.402	-24.498	GA03	0.05	-1.3010299956639813
-32.464	-159.019	GP13	0.5	-0.3010299956639812
-32.495	-157.994	GP13	0.1978174617201495	-0.703735375054363
-30	159	GP13	0.05	-1.3010299956639813
-30.001	162.998	GP13	0.05	-1.3010299956639813
-30	166.987	GP13	0.10703552795778147	-0.9704720444177214
-30	171	GP13	0.07188562590860878	-1.1433579415038924
-32.499	-176.03	GP13	0.38782302800559026	-0.41136640712210104
-30.001	155.986	GP13	0.05	-1.3010299956639813
33.433	-58.05	GA02	0.05	-1.3010299956639813
-29.998	153.501	GP13	0.05	-1.3010299956639813
-30.002	154.004	GP13	0.05	-1.3010299956639813
-30.001	174.001	GP13	0.4315533983983127	-0.3649654590567195
-30	175.98	GP13	0.33660338324570144	-0.4728815231862352
-32.5	-170	GP13	0.5	-0.3010299956639812
-32.5	-171.999	GP13	0.5	-0.3010299956639812
-32.496	-164.992	GP13	0.13514442001865495	-0.8692018811908242
-32.504	-163.99	GP13	0.12383750286165153	-0.9071478139636651
-32.494	-157.009	GP13	0.18438012026653658	-0.7342859060804676
-32.504	-156.011	GP13	0.1699026134276272	-0.7697999407985937
-32.499	-154.999	GP13	0.5	-0.3010299956639812
-32.501	-153.998	GP13	0.2384012827403178	-0.6226914121635839
-32.495	-168.002	GP13	0.5	-0.3010299956639812
-32.497	-167.002	GP13	0.5	-0.3010299956639812
-32.498	-165.999	GP13	0.20337240210822152	-0.6917079817245138
-32.506	-162.994	GP13	0.13244797921846346	-0.8779546634216039
-32.509	-162.009	GP13	0.2326548881085111	-0.6332878184530771
-32.498	-160.993	GP13	0.1178450841903376	-0.9286885289948787
-32.51	-160.008	GP13	0.2372213637469446	-0.6248462017343734
-32.494	-153.006	GP13	0.23493259926404345	-0.6290567163080375
-32.489	-152	GP13	0.26095668471422545	-0.5834315736990466
-32.496	-151.001	GP13	0.23103210790146467	-0.6363276594350125
-31.599	178	GP13	0.5	-0.3010299956639812
-32.499	-179.125	GP13	0.34945005079746544	-0.4566148920593588
-32.497	-170.995	GP13	0.23827004525674572	-0.6229305526909314
-32.494	-169.995	GP13	0.19630505081184868	-0.7070685261183048
-32.499	-169.002	GP13	0.24238185418320127	-0.6154998965646951
-36.45	13.22	GA10	0.2407047493420592	-0.6185153405820528
-40.063	5.527	GA10	0.4425753534936291	-0.354012775089628
-39.256	7.725	GA10	0.3473702660014822	-0.4592073587851162
